"","dates","Molecular positivity","Molecular & Antigen samples","Serological positivity","Serological sample","SINADEF excess of death","MINSA death","DIRESA & DIRIS death","DIRESA & DIRIS infected","free UCI´s bed %","Vaccinated-1st ","Vaccinated-2nd ","Vaccinated-3rd ","Vaccinated-4th","Vaccinated-5th","Vaccinated-6th"
"95",2020-06-06,42.7002265446224,4369,19.82,14584,45.8436245964085,568,NA,NA,0.134087237479806,0,0,0,0,0,0
"96",2020-06-07,28.8139339086508,4750,24.89,7279,40.0699926504668,639,616,4929,0.137710168134508,0,0,0,0,0,0
"97",2020-06-08,29.6613548951049,3431,14.91,20275,45.2514572173375,607,616,4929,0.141129032258065,0,0,0,0,0,0
"98",2020-06-09,31.7321318790283,4033,15.84,24032,41.9945366324474,643,616,4929,0.1376,0,0,0,0,0,0
"99",2020-06-10,27.512383061168,3612,21.51,23110,42.4386621667506,616,NA,NA,0.126003210272873,0,0,0,0,0,0
"100",2020-06-11,28.0425793650794,3779,16.81,29160,41.0569382822517,610,101,3685,0.138544891640867,0,0,0,0,0,0
"101",2020-06-12,28.5933410942957,4294,16.81,18766,44.2151643039634,530,101,3686,0.140092879256966,0,0,0,0,0,0
"102",2020-06-13,30.911496149615,3635,18.58,18727,44.2645115855526,614,NA,NA,0.131007751937985,0,0,0,0,0,0
"103",2020-06-14,24.0031867196368,3523,19.89,12116,42.6360512931075,591,NA,NA,0.142746913580247,0,0,0,0,0,0
"104",2020-06-15,30.6427421264504,4222,18.04,15905,44.0671224591957,549,173,5282,0.150611620795107,0,0,0,0,0,0
"105",2020-06-16,32.6005093131548,3435,14.73,17871,43.326913235357,538,172,5281,0.129429892141757,0,0,0,0,0,0
"106",2020-06-17,30.1027828379674,4171,12.58,17685,43.7216914880709,553,173,5282,0.13914373088685,0,0,0,0,0,0
"107",2020-06-18,22.8537728139472,3670,15.13,17829,39.1323943002712,528,173,5282,0.12681436210848,0,0,0,0,0,0
"108",2020-06-19,30.1341732283465,1904,14.64,19393,44.0671224591957,526,172,5281,0.137329286798179,0,0,0,0,0,0
"109",2020-06-20,31.7519329438659,3936,13.26,17710,40.0206453688776,531,173,5282,0.125382262996942,0,0,0,0,0,0
"110",2020-06-21,27.0681384143671,2282,16.55,11439,39.5271725529851,540,173,5282,0.122448979591837,0,0,0,0,0,0
"111",2020-06-22,27.2232364629906,4025,12.74,17791,38.8363106107357,537,172,5281,0.121326299924642,0,0,0,0,0,0
"112",2020-06-23,30.0941598758246,5153,13.9,16754,38.9843524555034,503,173,5282,0.12937595129376,0,0,0,0,0,0
"113",2020-06-24,29.9743836642937,5337,13.92,16615,38.9843524555034,561,172,5281,0.119459053343351,0,0,0,0,0,0
"114",2020-06-25,28.8844000775344,5158,14.42,15758,38.5402269212002,532,173,5282,0.118401206636501,0,0,0,0,0,0
"115",2020-06-26,24.1750873628606,4921,15.52,15693,37.0598084735229,546,173,5282,0.117602996254682,0,0,0,0,0,0
"116",2020-06-27,33.8265017949741,2506,14.78,17471,39.5271725529851,573,172,5281,0.111861861861862,0,0,0,0,0,0
"117",2020-06-28,32.7143919885551,2096,16.01,14116,39.3297834266281,536,173,5282,0.113023952095808,0,0,0,0,0,0
"118",2020-06-29,31.9088547486034,2863,12.72,15199,38.2441432316648,589,173,5282,0.104874446085672,0,0,0,0,0,0
"119",2020-06-30,33.4264340770791,2464,13.93,17519,39.1817415818604,564,NA,NA,0.105571847507331,0,0,0,0,0,0
"120",2020-07-01,34.6093868792152,3261,13.6,17631,37.7013231341831,546,NA,NA,0.105691056910569,0,0,0,0,0,0
"121",2020-07-02,31.6295852534562,3037,14.91,17671,38.5895742027895,577,NA,NA,0.101321585903084,0,0,0,0,0,0
"122",2020-07-03,32.167468847352,2567,14.45,18374,39.2310888634497,526,NA,NA,0.105685131195335,0,0,0,0,0,0
"123",2020-07-04,30.6703794292882,3188,14.99,17748,37.8493649789508,586,NA,NA,0.0991253644314869,0,0,0,0,0,0
"124",2020-07-05,32.7701973684211,3343,13.03,14501,43.129524109,590,NA,NA,0.0983606557377049,0,0,0,0,0,0
"125",2020-07-06,32.2715364446775,3813,13.93,16825,40.0699926504668,597,NA,NA,0.1015625,0,0,0,0,0,0
"126",2020-07-07,34.5326101839966,4673,12.38,16315,41.7478002245011,601,NA,NA,0.0888575458392101,0,0,0,0,0,0
"127",2020-07-08,30.8502155992391,3153,14.4,17809,40.51411818477,599,NA,NA,0.0871687587168759,0,0,0,0,0,0
"128",2020-07-09,26.1036533787069,4113,13.33,15935,38.8363106107357,620,NA,NA,0.0868055555555556,0,0,0,0,0,0
"129",2020-07-10,27.8709451120494,3078,12.37,17838,40.2180344952345,582,NA,NA,0.0829268292682926,0,0,0,0,0,0
"130",2020-07-11,35.4291653928462,3270,13.87,17719,43.0801768274108,608,NA,NA,0.0811188811188811,0,0,0,0,0,0
"131",2020-07-12,38.1083139178418,3261,16.82,15187,43.9190806144279,608,NA,NA,0.0811373092926491,0,0,0,0,0,0
