dates;Molecular positivity;Molecular & Antigen samples;Serological positivity;Serological sample;SINADEF excess of death;MINSA death;DIRESA & DIRIS death;DIRESA & DIRIS infected;free UCI´s bed %;Total UCI´s bed;Vaccinated-1st ;Vaccinated-2nd ;Vaccinated-3rd ;Vaccinated-4th;Vaccinated-5th;Vaccinated-6th
6/06/2020;42.70022654;4369;19.82;14584;44.41255343;569;NA;NA;14.21647819;1238;0;0;0;0;0;0
7/06/2020;28.81393391;4750;24.89;7279;38.63892148;639;616;4929;13.40872375;1238;0;0;0;0;0;0
8/06/2020;29.6613549;3431;14.91;20275;43.82038605;607;616;4929;13.77101681;1249;0;0;0;0;0;0
9/06/2020;31.73213188;4033;15.84;24032;40.56346547;643;616;4929;14.11290323;1240;0;0;0;0;0;0
10/06/2020;27.51238306;3612;21.51;23110;41.007591;616;NA;NA;13.76;1250;0;0;0;0;0;0
11/06/2020;28.04257937;3779;16.81;29160;39.62586712;610;101;3685;12.60032103;1246;0;0;0;0;0;0
12/06/2020;28.59334109;4294;16.81;18766;42.78409314;530;101;3686;13.85448916;1292;0;0;0;0;0;0
13/06/2020;30.91149615;3635;18.58;18727;42.83344042;614;NA;NA;14.00928793;1292;0;0;0;0;0;0
14/06/2020;24.00318672;3523;19.89;12116;41.20498013;591;NA;NA;13.10077519;1290;0;0;0;0;0;0
15/06/2020;30.64274213;4222;18.04;15905;42.63605129;550;173;5282;14.27469136;1296;0;0;0;0;0;0
16/06/2020;32.60050931;3435;14.73;17871;41.89584207;538;172;5281;15.06116208;1308;0;0;0;0;0;0
17/06/2020;30.10278284;4171;12.58;17685;42.29062032;553;173;5282;12.94298921;1298;0;0;0;0;0;0
18/06/2020;22.85377281;3670;15.13;17829;37.70132313;528;173;5282;13.91437309;1308;0;0;0;0;0;0
19/06/2020;30.13417323;1904;14.64;19393;42.63605129;526;172;5281;12.68143621;1309;0;0;0;0;0;0
20/06/2020;31.75193294;3936;13.26;17710;38.5895742;531;173;5282;13.73292868;1318;0;0;0;0;0;0
21/06/2020;27.06813841;2282;16.55;11439;38.09610139;540;173;5282;12.5382263;1308;0;0;0;0;0;0
22/06/2020;27.22323646;4025;12.74;17791;37.40523944;538;172;5281;12.24489796;1323;0;0;0;0;0;0
23/06/2020;30.09415988;5153;13.9;16754;37.55328129;503;173;5282;12.13262999;1327;0;0;0;0;0;0
24/06/2020;29.97438366;5337;13.92;16615;37.55328129;561;172;5281;12.93759513;1314;0;0;0;0;0;0
25/06/2020;28.88440008;5158;14.42;15758;37.10915576;532;173;5282;11.94590533;1331;0;0;0;0;0;0
26/06/2020;24.17508736;4921;15.52;15693;35.62873731;546;173;5282;11.84012066;1326;0;0;0;0;0;0
27/06/2020;33.82650179;2506;14.78;17471;38.09610139;573;172;5281;11.76029963;1335;0;0;0;0;0;0
28/06/2020;32.71439199;2096;16.01;14116;37.89871226;536;173;5282;11.18618619;1332;0;0;0;0;0;0
29/06/2020;31.90885475;2863;12.72;15199;36.81307207;589;173;5282;11.30239521;1336;0;0;0;0;0;0
30/06/2020;33.42643408;2464;13.93;17519;37.75067042;564;NA;NA;10.48744461;1354;0;0;0;0;0;0
1/07/2020;34.60938688;3261;13.6;17631;36.27025197;546;NA;NA;10.55718475;1364;0;0;0;0;0;0
2/07/2020;31.62958525;3037;14.91;17671;37.15850304;577;NA;NA;10.56910569;1353;0;0;0;0;0;0
3/07/2020;32.16746885;2567;14.45;18374;37.8000177;526;NA;NA;10.13215859;1362;0;0;0;0;0;0
4/07/2020;30.67037943;3188;14.99;17748;36.41829381;587;NA;NA;10.56851312;1372;0;0;0;0;0;0
5/07/2020;32.77019737;3343;13.03;14501;41.69845294;590;NA;NA;9.912536443;1372;0;0;0;0;0;0
6/07/2020;32.27153644;3813;13.93;16825;38.63892148;597;NA;NA;9.836065574;1403;0;0;0;0;0;0
7/07/2020;34.53261018;4673;12.38;16315;40.31672906;601;NA;NA;10.15625;1408;0;0;0;0;0;0
8/07/2020;30.8502156;3153;14.4;17809;39.08304702;599;NA;NA;8.885754584;1418;0;0;0;0;0;0
9/07/2020;26.10365338;4113;13.33;15935;37.40523944;620;NA;NA;8.716875872;1434;0;0;0;0;0;0
10/07/2020;27.87094511;3078;12.37;17838;38.78696333;582;NA;NA;8.680555556;1440;0;0;0;0;0;0
11/07/2020;35.42916539;3270;13.87;17719;41.64910566;609;NA;NA;8.292682927;1435;0;0;0;0;0;0
12/07/2020;38.10831392;3261;16.82;15187;42.48800945;608;NA;NA;8.111888112;1430;0;0;0;0;0;0
13/07/2020;28.93323041;4274;15.7;15968;41.45171653;593;NA;NA;8.113730929;1442;0;0;0;0;0;0
14/07/2020;29.63547895;6555;14.22;13456;41.40236925;637;NA;NA;8.884297521;1452;0;0;0;0;0;0
15/07/2020;32.67397382;5422;14.31;14609;42.63605129;601;NA;NA;10.02073255;1447;0;0;0;0;0;0
16/07/2020;33.33453532;6100;13.76;13933;40.85954916;621;NA;NA;10;1460;0;0;0;0;0;0
17/07/2020;29.83486933;5815;17.96;12407;41.45171653;630;NA;NA;10.57298772;1466;0;0;0;0;0;0
18/07/2020;31.42351959;4849;15.87;16173;42.93213498;589;NA;NA;11.31687243;1458;0;0;0;0;0;0
19/07/2020;28.05135018;3243;17.84;17828;41.20498013;621;NA;NA;11.23978202;1468;0;0;0;0;0;0
20/07/2020;29.08388737;4758;15.01;20133;42.63605129;628;NA;NA;9.993293092;1491;0;0;0;0;0;0
21/07/2020;28.70374237;4587;15.74;19986;40.66216003;666;NA;NA;10.52980132;1510;0;0;0;0;0;0
22/07/2020;28.31478549;5430;15.37;19565;44.41255343;619;NA;NA;8.95819509;1507;0;0;0;0;0;0
23/07/2020;29.56395791;4893;17;20100;43.62299692;594;NA;NA;9.037328094;1527;0;0;0;0;0;0
24/07/2020;27.98551873;6245;13.51;16097;40.36607634;609;NA;NA;8.783344177;1537;0;0;0;0;0;0
25/07/2020;27.4542226;4752;18.61;19390;41.79714751;639;NA;NA;9.009584665;1565;0;0;0;0;0;0
26/07/2020;31.35194658;3893;22.95;16116;41.40236925;677;NA;NA;8.460559796;1572;0;0;0;0;0;0
27/07/2020;26.41446122;4769;25.67;15692;43.37626052;580;NA;NA;9.305289994;1569;0;0;0;0;0;0
28/07/2020;21.81425789;3799;25.39;19096;43.47495508;666;NA;NA;9.223918575;1572;0;0;0;0;0;0
29/07/2020;29.09248256;3870;27.36;20772;41.35302197;664;NA;NA;9.43275972;1569;0;0;0;0;0;0
30/07/2020;23.70599966;5926;24.11;24216;42.3399676;605;NA;NA;10.05089059;1572;0;0;0;0;0;0
31/07/2020;23.76593883;5852;25.56;23700;42.24127304;635;318;11758;9.230769231;1560;0;0;0;0;0;0
1/08/2020;26.42547896;5845;25.29;20253;44.7579844;671;NA;NA;9.673286355;1561;0;0;0;0;0;0
2/08/2020;28.06235358;3670;31.75;10141;41.05693828;662;NA;NA;9.38697318;1566;0;0;0;0;0;0
3/08/2020;30.27274904;4175;30.44;18152;45.69558275;591;NA;NA;9.853782581;1573;0;0;0;0;0;0
4/08/2020;28.18528201;5974;29.39;20587;45.15276265;637;NA;NA;9.847522236;1574;0;0;0;0;0;0
5/08/2020;30.03385056;4884;28.98;21800;41.84649479;592;NA;NA;9.345200254;1573;0;0;0;0;0;0
6/08/2020;25.42632196;6913;29.61;22651;43.52430236;626;NA;NA;9.838107098;1606;0;0;0;0;0;0
7/08/2020;22.12480882;4262;29.24;21184;44.26451159;661;NA;NA;8.555486671;1613;0;0;0;0;0;0
8/08/2020;20.07671949;6120;30.23;19132;43.4256078;656;NA;NA;8.024691358;1620;0;0;0;0;0;0
9/08/2020;25.44491712;5006;33.7;11381;43.37626052;590;NA;NA;8.271604938;1620;0;0;0;0;0;0
10/08/2020;23.68364709;3728;30.14;18793;42.38931489;550;NA;NA;8.215818516;1631;0;0;0;0;0;0
11/08/2020;23.69705004;8033;30.53;22832;38.68826877;615;NA;NA;8.139534884;1634;0;0;0;0;0;0
12/08/2020;25.33728199;9322;29.22;24228;42.93213498;577;NA;NA;7.548309179;1656;0;0;0;0;0;0
13/08/2020;26.94651674;7736;30.51;20372;44.31385887;519;NA;NA;8.033573141;1668;0;0;0;0;0;0
14/08/2020;24.98705619;8488;30;24619;43.82038605;514;NA;NA;7.117008444;1658;0;0;0;0;0;0
15/08/2020;24.93760469;10411;30.47;24772;38.39218508;525;NA;NA;7.771084337;1660;0;0;0;0;0;0
16/08/2020;23.48641265;6547;29.36;13655;37.84936498;521;NA;NA;8.111380145;1652;0;0;0;0;0;0
17/08/2020;23.23717172;8216;34.59;17113;41.25432741;529;NA;NA;7.552870091;1655;0;0;0;0;0;0
